Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID,ReadTimeStamp,Accepted
"Roy, C.J., Oberkampf, W.L.",36237741700; 7003555355,"A comprehensive framework for verification, validation, and uncertainty quantification in scientific computing",2011,Computer Methods in Applied Mechanics and Engineering,200,25-28,,2131,2144,,323.0,10.1016/j.cma.2011.03.016,https://www.scopus.com/inward/record.url?eid=2-s2.0-79955404665&partnerID=40&md5=e2c0327be54417b32db1b62a49c734ad,Article,Final,,Scopus,2-s2.0-79955404665,1574369801.0,True
"Sargent, R.G.",7101976202,Verification and validation of simulation models,2013,Journal of Simulation,7,1,,12,24,,321.0,10.1057/jos.2012.20,https://www.scopus.com/inward/record.url?eid=2-s2.0-84872734011&partnerID=40&md5=fee77e9cd765ad9d1a9e3acc4a6f358b,Article,Final,,Scopus,2-s2.0-84872734011,1574369801.0,True
"Vehtari, A., Gelman, A., Gabry, J.",6602931164; 7007071352; 57190962325,Practical Bayesian model evaluation using leave-one-out cross-validation and WAIC,2017,Statistics and Computing,27,5,,1413,1432,,317.0,10.1007/s11222-016-9696-4,https://www.scopus.com/inward/record.url?eid=2-s2.0-85026299835&partnerID=40&md5=2404480daa18fe357506e8733d5f65b8,Article,Final,,Scopus,2-s2.0-85026299835,1574369802.0,True
"Lee, W.W.",55713033800,Gyrokinetic particle simulation model,1987,Journal of Computational Physics,72,1,,243,269,,315.0,10.1016/0021-9991(87)90080-5,https://www.scopus.com/inward/record.url?eid=2-s2.0-20844459296&partnerID=40&md5=1439cdf2ef60015e0f9a0198edeb9fb9,Article,Final,,Scopus,2-s2.0-20844459296,1574369802.0,False
"Feudale, R.N., Woody, N.A., Tan, H., Myles, A.J., Brown, S.D., Ferré, J.",57195603026; 6604049187; 57206609614; 7006401614; 35355111600; 7101785360,Transfer of multivariate calibration models: A review,2002,Chemometrics and Intelligent Laboratory Systems,64,2,,181,192,,313.0,10.1016/S0169-7439(02)00085-0,https://www.scopus.com/inward/record.url?eid=2-s2.0-0037191669&partnerID=40&md5=e79af2470eed6e2af1a84e04031ef680,Review,Final,,Scopus,2-s2.0-0037191669,1574369802.0,True
"Foss, T., Stensrud, E., Kitchenham, B., Myrtveit, I.",6701697713; 6603458520; 7005427567; 6602982608,A Simulation Study of the Model Evaluation Criterion MMRE,2003,IEEE Transactions on Software Engineering,29,11,,985,995,,284.0,10.1109/TSE.2003.1245300,https://www.scopus.com/inward/record.url?eid=2-s2.0-0346896359&partnerID=40&md5=6a09cf0f16b47d7b19921f58517e1ed0,Article,Final,,Scopus,2-s2.0-0346896359,1574369802.0,False
"Sun, C.-C.",26634417200,A performance evaluation model by integrating fuzzy AHP and fuzzy TOPSIS methods,2010,Expert Systems with Applications,37,12,,7745,7754,,278.0,10.1016/j.eswa.2010.04.066,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957839959&partnerID=40&md5=38d5c39bf3d1fea23f2839ac0ea36685,Article,Final,,Scopus,2-s2.0-77957839959,1574369802.0,False
"Archibald, J., Baer, J.-L.",55166205900; 7102955268,Cache Coherence Protocols: Evaluation Using a Multiprocessor Simulation Model,1986,ACM Transactions on Computer Systems (TOCS),4,4,,273,298,,278.0,10.1145/6513.6514,https://www.scopus.com/inward/record.url?eid=2-s2.0-0022806145&partnerID=40&md5=e485df5340beda5b2255514c5f3a870f,Article,Final,,Scopus,2-s2.0-0022806145,1574369802.0,False
"Adrion, W.R., Branstad, M.A., Cherniavsky, J.C.",55663077100; 57207667011; 6602997403,"Validation, Verification, and Testing of Computer Software",1982,ACM Computing Surveys (CSUR),14,2,,159,192,,239.0,10.1145/356876.356879,https://www.scopus.com/inward/record.url?eid=2-s2.0-0020141868&partnerID=40&md5=1f7f98e44ad7829482a9878bf51a1cd7,Article,Final,,Scopus,2-s2.0-0020141868,1574369803.0,True
"Poolla, K., Nagpal, K.",7004835843; 35599387700,A Time-Domain Approach to Model Validation,1994,IEEE Transactions on Automatic Control,39,5,,951,959,,237.0,10.1109/9.284871,https://www.scopus.com/inward/record.url?eid=2-s2.0-0028436875&partnerID=40&md5=57908445f564df0db39769b9edc56848,Article,Final,,Scopus,2-s2.0-0028436875,1574369803.0,True
"Smith, R.S.",7410294153,Model Validation: A Connection Between Robust Control and Identification,1992,IEEE Transactions on Automatic Control,37,7,,942,952,,236.0,10.1109/9.148346,https://www.scopus.com/inward/record.url?eid=2-s2.0-0026892157&partnerID=40&md5=fede06b7320aa496e6a952d4661cee45,Article,Final,,Scopus,2-s2.0-0026892157,1574369803.0,True
"Lee, K.H., Choi, M.G., Hong, Q., Lee, J.",56100872100; 27171913500; 57191345923; 55689897000,Group behavior from video: A data-driven approach to crowd simulation,2007,"Symposium on Computer Animation 2007 - ACM SIGGRAPH / Eurographics Symposium Proceedings, SCA 2007",,,,109,118,,194.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84988954045&partnerID=40&md5=e15fab5cabd2ffa7bad1cef9fa61d71e,Conference Paper,Final,,Scopus,2-s2.0-84988954045,1574369805.0,True
"Duives, D.C., Daamen, W., Hoogendoorn, S.P.",55630559900; 6602658905; 6701778851,State-of-the-art crowd motion simulation models,2013,Transportation Research Part C: Emerging Technologies,37,,,193,209,,193.0,10.1016/j.trc.2013.02.005,https://www.scopus.com/inward/record.url?eid=2-s2.0-84901818889&partnerID=40&md5=cba0d0e7406b1e7ded937c5e741aa5bb,Article,Final,,Scopus,2-s2.0-84901818889,1574369806.0,True
"Narain, R., Golas, A., Curtis, S., Lin, M.C.",24169312800; 26531106300; 9233429400; 55621706600,Aggregate dynamics for dense crowd simulation,2009,ACM Transactions on Graphics,28,5,,122:1,122:8,,192.0,10.1145/1661412.1618468,https://www.scopus.com/inward/record.url?eid=2-s2.0-77749267996&partnerID=40&md5=de378e450d8b6aaa00481a1fa75e6631,Conference Paper,Final,,Scopus,2-s2.0-77749267996,1574369806.0,True
"Ferson, S., Oberkampf, W.L., Ginzburg, L.",7004465663; 7003555355; 7006111833,Model validation and predictive capability for the thermal challenge problem,2008,Computer Methods in Applied Mechanics and Engineering,197,29-32,,2408,2430,,191.0,10.1016/j.cma.2007.07.030,https://www.scopus.com/inward/record.url?eid=2-s2.0-43049119387&partnerID=40&md5=a38e9293b92b0c1e3397d63f487b6c1f,Article,Final,,Scopus,2-s2.0-43049119387,1574369806.0,False
"Barlas, Y.",6602904813,Multiple tests for validation of system dynamics type of simulation models,1989,European Journal of Operational Research,42,1,,59,87,,185.0,10.1016/0377-2217(89)90059-3,https://www.scopus.com/inward/record.url?eid=2-s2.0-0024962452&partnerID=40&md5=e77a46da4e25ddb85f9ec5c053001361,Article,Final,,Scopus,2-s2.0-0024962452,1574369807.0,True
"Chen, X.-Z., Zheng, Q.-H., Guan, X.-H., Lin, C.-G.",8348558700; 8957768300; 7201463208; 26661061600,Quantitative hierarchical threat evaluation model for network security,2006,Ruan Jian Xue Bao/Journal of Software,17,4,,885,897,,183.0,10.1360/jos170885,https://www.scopus.com/inward/record.url?eid=2-s2.0-33745170386&partnerID=40&md5=e3851f60d3a4b45f2169119dbbfbfc3d,Article,Final,,Scopus,2-s2.0-33745170386,1574369808.0,False
"Khairallah, S.A., Anderson, A.",24780977600; 7403368976,Mesoscopic simulation model of selective laser melting of stainless steel powder,2014,Journal of Materials Processing Technology,214,11,,2627,2636,,178.0,10.1016/j.jmatprotec.2014.06.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-84903191242&partnerID=40&md5=90736093779d9d126a8ebe10fc5db31e,Article,Final,,Scopus,2-s2.0-84903191242,1574369808.0,False
"Cen, H., Koedinger, K., Junker, B.",36885703000; 6603678234; 7006192398,Learning factors analysis - A general method for cognitive model evaluation and improvement,2006,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),4053 LNCS,,,164,175,,178.0,10.1007/11774303_17,https://www.scopus.com/inward/record.url?eid=2-s2.0-33746362586&partnerID=40&md5=445b2c8bf94a2503d18fff20e0367716,Conference Paper,Final,,Scopus,2-s2.0-33746362586,1574369809.0,False
"Balabin, R.M., Safieva, R.Z., Lomakina, E.I.",15049329900; 6602805500; 36721561800,Comparison of linear and nonlinear calibration models based on near infrared (NIR) spectroscopy data for gasoline properties prediction,2007,Chemometrics and Intelligent Laboratory Systems,88,2,,183,188,,174.0,10.1016/j.chemolab.2007.04.006,https://www.scopus.com/inward/record.url?eid=2-s2.0-34347204415&partnerID=40&md5=683bbfe6a132f1779a283bf939309ae7,Article,Final,,Scopus,2-s2.0-34347204415,1574369809.0,False
"Paris, S., Pettré, J., Donikian, S.",57198050320; 6506525739; 6602389038,Pedestrian reactive navigation for crowd simulation: A predictive approach,2007,Computer Graphics Forum,26,3,,665,674,,170.0,10.1111/j.1467-8659.2007.01090.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-35348955935&partnerID=40&md5=86b7e64ccfec9d9170bd26f1933cc011,Article,Final,,Scopus,2-s2.0-35348955935,1574375230.0,True
"Kuc, R.",7007041453,Physically Based Simulation Model for Acoustic Sensor Robot Navigation,1987,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI-9,6,,766,778,,169.0,10.1109/TPAMI.1987.4767983,https://www.scopus.com/inward/record.url?eid=2-s2.0-0023450513&partnerID=40&md5=e2d5aed035e95456c4a44cfda99aa5cd,Article,Final,,Scopus,2-s2.0-0023450513,1574375236.0,True
"Shiffrin, R.M., Lee, M.D., Kim, W., Wagenmakers, E.-J.",7004512031; 26643345500; 55492050400; 6602132134,A survey of model evaluation approaches with a tutorial on hierarchical bayesian methods,2008,Cognitive Science,32,8,,1248,1284,,167.0,10.1080/03640210802414826,https://www.scopus.com/inward/record.url?eid=2-s2.0-57549108651&partnerID=40&md5=0d9137ea21abbd4651cd075430b237c1,Conference Paper,Final,,Scopus,2-s2.0-57549108651,1574375243.0,True
"Wang, J., Shi, F., Zhang, J., Liu, Y.",36065477000; 7202739806; 55852642000; 56400438500,A new calibration model of camera lens distortion,2008,Pattern Recognition,41,2,,607,615,,164.0,10.1016/j.patcog.2007.06.012,https://www.scopus.com/inward/record.url?eid=2-s2.0-34848824978&partnerID=40&md5=f512185441fd9a92f242e8fce0ccba8a,Article,Final,,Scopus,2-s2.0-34848824978,1574375246.0,False
"Sung, M., Gleicher, M., Chenney, S.",55804284000; 6701816786; 6603011702,Scalable behaviors for crowd simulation,2004,Computer Graphics Forum,23,3 SPEC. ISS.,,519,528,,164.0,10.1111/j.1467-8659.2004.00783.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-4644288155&partnerID=40&md5=2f00fe350ce6d295c90e9525dcb3d988,Conference Paper,Final,,Scopus,2-s2.0-4644288155,1574375249.0,True
"Ondřej, J., Pettré, J., Olivier, A.-H., Donikian, S.",35213640200; 57203479876; 15761037000; 6602389038,A synthetic-vision based steering approach for crowd simulation,2010,ACM Transactions on Graphics,29,4, 123,,,,162.0,10.1145/1778765.1778860,https://www.scopus.com/inward/record.url?eid=2-s2.0-77956386228&partnerID=40&md5=949e7468124a2ee349dab6d45674a6cc,Article,Final,,Scopus,2-s2.0-77956386228,1574376043.0,True
"Sargent, R.G.",7101976202,Verification and validation of simulation models,2007,Proceedings - Winter Simulation Conference,,, 4419595,124,137,,160.0,10.1109/WSC.2007.4419595,https://www.scopus.com/inward/record.url?eid=2-s2.0-49749092683&partnerID=40&md5=f07650e2aff2816f20d94255a7142c55,Conference Paper,Final,,Scopus,2-s2.0-49749092683,1574376046.0,True
"Golparvar-Fard, M., Pea-Mora, F., Arboleda, C.A., Lee, S.",34868104300; 26030014500; 6602997112; 35956260100,Visualization of construction progress monitoring with 4D simulation model overlaid on time-lapsed photographs,2009,Journal of Computing in Civil Engineering,23,6,,391,404,,159.0,10.1061/(ASCE)0887-3801(2009)23:6(391),https://www.scopus.com/inward/record.url?eid=2-s2.0-70350060197&partnerID=40&md5=3e6e24670062cc73f08e4bfe85c9f2b7,Article,Final,,Scopus,2-s2.0-70350060197,1574376050.0,False
"Cremer, M., Ludwig, J.",7102334160; 57197946778,A fast simulation model for traffic flow on the basis of boolean operations,1986,Mathematics and Computers in Simulation,28,4,,297,303,,159.0,10.1016/0378-4754(86)90051-0,https://www.scopus.com/inward/record.url?eid=2-s2.0-0000776883&partnerID=40&md5=4c259f45eaebadb4850e44d480222ca7,Article,Final,,Scopus,2-s2.0-0000776883,1574376058.0,True
"Rascle, N., Ardhuin, F.",23006078500; 8699708300,A global wave parameter database for geophysical applications. Part 2: Model validation with improved source term parameterization,2013,Ocean Modelling,70,,,174,188,,156.0,10.1016/j.ocemod.2012.12.001,https://www.scopus.com/inward/record.url?eid=2-s2.0-84882905368&partnerID=40&md5=1b00e11efb87bb09db74a8fbfb0751c5,Article,Final,,Scopus,2-s2.0-84882905368,1574376066.0,False
"Calvello, M., Finno, R.J.",6508037910; 7004011710,Selecting parameters to optimize in model calibration by inverse analysis,2004,Computers and Geotechnics,31,5,,410,424,,153.0,10.1016/j.compgeo.2004.03.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-3142656650&partnerID=40&md5=a8bb8d6b80d65ebb082ffe45ca495008,Article,Final,,Scopus,2-s2.0-3142656650,1574376073.0,True
"Mao, M.-Q., Yu, S.-J., Su, J.-H.",7102960490; 55515592600; 8872620300,Versatile Matlab simulation model for photovoltaic array with MPPT function,2005,Xitong Fangzhen Xuebao / Journal of System Simulation,17,5,,1248,1251,,152.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-19644365125&partnerID=40&md5=78d90c6aa51625e1efaf487e85fbd8fe,Article,Final,,Scopus,2-s2.0-19644365125,1574376077.0,False
"Chao, D.L., Halloran, M.E., Obenchain, V.J., Longini Jr., I.M.",7103350967; 7006382777; 35760387000; 26643585800,"FluTE, a publicly available stochastic influenza epidemic simulation model",2010,PLoS Computational Biology,6,1, e1000656,,,,151.0,10.1371/journal.pcbi.1000656,https://www.scopus.com/inward/record.url?eid=2-s2.0-76749154557&partnerID=40&md5=549a5c908a2e97ffd48bbd5d0e9d913e,Article,Final,Open Access,Scopus,2-s2.0-76749154557,1574376082.0,False
"Tang, Q., Mukherjee, T., Gupta, S.K.S., Cayton, P.",8899078500; 15060197100; 34975062800; 9736440800,Sensor-based fast thermal evaluation model for energy efficient high-performance datacenters,2006,"Proceedings - 4th International Conference on Intelligent Sensing and Information Processing, ICISIP 2006",,, 4286097,203,208,,151.0,10.1109/ICISIP.2006.4286097,https://www.scopus.com/inward/record.url?eid=2-s2.0-47749153403&partnerID=40&md5=d2e4640c3b7ff6cf422b19681a6c5d05,Conference Paper,Final,,Scopus,2-s2.0-47749153403,1574376088.0,False
"Gass, Saul I.",7005403469,"DECISION-AIDING MODELS: VALIDATION, ASSESSMENT, AND RELATED ISSUES FOR POLICY ANALYSIS.",1983,Operations Research,31,4,,603,631,,151.0,10.1287/opre.31.4.603,https://www.scopus.com/inward/record.url?eid=2-s2.0-0020790254&partnerID=40&md5=a30f34d094932e967e5e743474529e8b,Article,Final,Open Access,Scopus,2-s2.0-0020790254,1574376094.0,False
"Schreinemachers, P., Berger, T.",12039428300; 55217189300,An agent-based simulation model of human-environment interactions in agricultural systems,2011,Environmental Modelling and Software,26,7,,845,859,,148.0,10.1016/j.envsoft.2011.02.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-79953090711&partnerID=40&md5=909a237e50519daba78157f61fe5decd,Article,Final,,Scopus,2-s2.0-79953090711,1574376103.0,True
"Tsatsanis, M.K., Giannakis, G.B.",7003941650; 36049280600,Time-Varying System Identification and Model Validation Using Wavelets,1993,IEEE Transactions on Signal Processing,41,12,,3512,3523,,147.0,10.1109/78.258089,https://www.scopus.com/inward/record.url?eid=2-s2.0-0027807710&partnerID=40&md5=582beccf613c2470842ad94b25428e47,Article,Final,,Scopus,2-s2.0-0027807710,1574376109.0,False
"Rigatos, G., Zhang, Q.",7003337399; 7406719512,Fuzzy model validation using the local statistical approach,2009,Fuzzy Sets and Systems,160,7,,882,904,,144.0,10.1016/j.fss.2008.07.008,https://www.scopus.com/inward/record.url?eid=2-s2.0-59649121926&partnerID=40&md5=7dc8c11fbbeb2c4c5a911e06ae30b394,Article,Final,,Scopus,2-s2.0-59649121926,1574376114.0,False
"Oliva, R.",7102411613,Model calibration as a testing strategy for system dynamics models,2003,European Journal of Operational Research,151,3,,552,568,,142.0,10.1016/S0377-2217(02)00622-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-0012317604&partnerID=40&md5=deb111cd3f7382544b2b71f83436e904,Article,Final,,Scopus,2-s2.0-0012317604,1574376121.0,False
"Guy, S.J., Chhugani, J., Curtis, S., Dubey, P., Lin, M., Manocha, D.",25928471500; 6506913869; 9233429400; 7102976269; 57206595988; 35452853100,PLEdestrians: A least-effort approach to crowd simulation,2010,"Computer Animation 2010 - ACM SIGGRAPH / Eurographics Symposium Proceedings, SCA 2010",,,,119,128,,141.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85018131607&partnerID=40&md5=22e35cdb0f6cd26425cb7efe7d6f227f,Conference Paper,Final,,Scopus,2-s2.0-85018131607,1574376124.0,True
"Dente, M., Ranzi, E., Goossens, A.G.",24542562600; 7005726046; 7103201284,Detailed prediction of olefin yields from hydrocarbon pyrolysis through a fundamental simulation model (SPYRO),1979,Computers and Chemical Engineering,3,1-4,,61,75,,141.0,10.1016/0098-1354(79)80013-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-0018651013&partnerID=40&md5=cbb72cfec569db6f476b0fbb7036c6de,Article,Final,,Scopus,2-s2.0-0018651013,1574376131.0,False
"Thalmann, D., Musse, S.R.",7005885082; 6508070752,Crowd simulation,2008,Crowd Simulation,,,,1,242,,136.0,10.1007/978-1-84628-825-8,https://www.scopus.com/inward/record.url?eid=2-s2.0-84890008993&partnerID=40&md5=0a23ff9a818ab2cce53db6d5abaaeedc,Book,Final,,Scopus,2-s2.0-84890008993,1574376133.0,True
"Mccluskey, E.J.",7103310726,Verification Testing — A Pseudoexhaustive Test Technique,1984,IEEE Transactions on Computers,C-33,6,,541,546,,136.0,10.1109/TC.1984.1676477,https://www.scopus.com/inward/record.url?eid=2-s2.0-0021444275&partnerID=40&md5=b4aaf8e64852324ff326898dbc8f2553,Article,Final,,Scopus,2-s2.0-0021444275,1574376143.0,False
"Xiao, C., Zheng, Y.R., Beaulieu, N.C.",7202240414; 7404837585; 7005759149,Novel sum-of-sinusoids simulation models for rayleigh and rician fading channels,2006,IEEE Transactions on Wireless Communications,5,12,,3667,3678,,135.0,10.1109/TWC.2006.256990,https://www.scopus.com/inward/record.url?eid=2-s2.0-33845642280&partnerID=40&md5=addba2b6d8ce12696c4aed6b8ad4de93,Article,Final,,Scopus,2-s2.0-33845642280,1574376149.0,False
"Arendt, P.D., Apley, D.W., Chen, W.",36160993000; 6701685824; 37020288100,"Quantification of model uncertainty: Calibration, model discrepancy, and identifiability",2012,"Journal of Mechanical Design, Transactions of the ASME",134,10, 100908,,,,134.0,10.1115/1.4007390,https://www.scopus.com/inward/record.url?eid=2-s2.0-84867010927&partnerID=40&md5=f055d5cef9cf79ea633f71a279e781f3,Article,Final,,Scopus,2-s2.0-84867010927,1574376158.0,True
"Balci, Osman",57206173567,"Verification, validation and accreditation of simulation models",1997,Winter Simulation Conference Proceedings,,,,135,141,,133.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0031331432&partnerID=40&md5=cfe8da92c2140d69312be28bf5939707,Conference Paper,Final,,Scopus,2-s2.0-0031331432,1574376165.0,True
"Anderssen, E., Dyrstad, K., Westad, F., Martens, H.",6602346577; 55947980900; 6602536543; 7103016000,Reducing over-optimism in variable selection by cross-model validation,2006,Chemometrics and Intelligent Laboratory Systems,84,1-2 SPEC. ISS.,,69,74,,131.0,10.1016/j.chemolab.2006.04.021,https://www.scopus.com/inward/record.url?eid=2-s2.0-33750724182&partnerID=40&md5=edf3e3edbf49d0d15d3396d99a691683,Article,Final,,Scopus,2-s2.0-33750724182,1574376173.0,False
"Hare, M., Deadman, P.",55415392400; 6603031243,Further towards a taxonomy of agent-based simulation models in environmental management,2004,Mathematics and Computers in Simulation,64,1,,25,40,,130.0,10.1016/S0378-4754(03)00118-6,https://www.scopus.com/inward/record.url?eid=2-s2.0-0344120796&partnerID=40&md5=82c293929f01e742c2786ee2e2a88cff,Conference Paper,Final,,Scopus,2-s2.0-0344120796,1574376181.0,False
"Braun, A., Musse, S.R., De Oliveira, L.P.L., Bodmann, B.E.J.",14618965200; 6508070752; 7102852865; 7003437043,Modeling individual behaviors in crowd simulation,2003,Proceedings - IEEE Workshop on Program Comprehension,2003-January,, 1199317,143,148,,130.0,10.1109/CASA.2003.1199317,https://www.scopus.com/inward/record.url?eid=2-s2.0-84943384978&partnerID=40&md5=628a85a8f10bcff1122e8d3983856809,Conference Paper,Final,,Scopus,2-s2.0-84943384978,1574376184.0,True
"Pidd, M., De Silva, F.N., Eglese, R.W.",7004477243; 6604066997; 6602809746,A simulation model for emergency evacuation,1996,European Journal of Operational Research,90,3,,413,419,,127.0,10.1016/0377-2217(95)00112-3,https://www.scopus.com/inward/record.url?eid=2-s2.0-0030149439&partnerID=40&md5=ed493905445e77d5d1023abcdc2a1da1,Article,Final,,Scopus,2-s2.0-0030149439,1574376186.0,True
"Billings, S.A., Zhu, Q.M.",57205852747; 56493343500,Nonlinear model validation using correlation tests,1994,International Journal of Control,60,6,,1107,1120,,127.0,10.1080/00207179408921513,https://www.scopus.com/inward/record.url?eid=2-s2.0-0001658853&partnerID=40&md5=e3850a16109946bb9d035f75bbd08b88,Article,Final,,Scopus,2-s2.0-0001658853,1574376191.0,False
"Sargent, R.G.",7101976202,Verification and validation of simulation models,2010,Proceedings - Winter Simulation Conference,,, 5679166,166,183,,126.0,10.1109/WSC.2010.5679166,https://www.scopus.com/inward/record.url?eid=2-s2.0-79951596982&partnerID=40&md5=97d3ca6384ed7d09f3e60d89693b98d7,Conference Paper,Final,,Scopus,2-s2.0-79951596982,1574376194.0,True
"Rozinat, A., Mans, R.S., Song, M., van der Aalst, W.M.P.",14016670200; 23100144700; 57198324241; 7007153024,Discovering simulation models,2009,Information Systems,34,3,,305,327,,126.0,10.1016/j.is.2008.09.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-59149094053&partnerID=40&md5=a841ee9b8818dcfd67f03b41897a5abf,Article,Final,,Scopus,2-s2.0-59149094053,1574376196.0,False
"Anderson, A.E., Ellis, B.J., Weiss, J.A.",7403368928; 9243373100; 7402740374,"Verification, validation and sensitivity studies in computational biomechanics",2007,Computer Methods in Biomechanics and Biomedical Engineering,10,3,,171,184,,126.0,10.1080/10255840601160484,https://www.scopus.com/inward/record.url?eid=2-s2.0-34547427002&partnerID=40&md5=7d84935a1e990dd31a033f6fb08c8783,Article,Final,,Scopus,2-s2.0-34547427002,1574376199.0,False
"Bettonvil, B., Kleijnen, J.P.C.",6507808131; 7005646046,Searching for important factors in simulation models with many factors: Sequential bifurcation,1997,European Journal of Operational Research,96,1,,180,194,,125.0,10.1016/S0377-2217(96)00156-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-0030815489&partnerID=40&md5=0edb7a63e1ab1434545cdf14d185f4cc,Article,Final,,Scopus,2-s2.0-0030815489,1574376206.0,False
